Group_AutoCorr,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
AutoCorr_G01,2.5037,3.5079,2.818,0.8404
AutoCorr_G02,1.0266,0.4269,0.4552,-2.8775
AutoCorr_G03,1.8285,1.6371,1.5566,-0.3747
HML,-0.6753,-1.8708,-1.2614,-1.2151
t,-0.5012,-1.0913,-0.9473,-0.6199
p,0.6316,0.3365,0.3751,0.5417
