Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.3857,-0.0096,0.9336,-1.486
Square_G02,1.4823,3.7512,1.814,1.6029
Square_G03,1.3224,4.1625,2.0546,-0.7826
HML,-0.0633,4.1721,1.121,0.7035
t,-0.0371,3.4714,0.8904,0.3143
p,0.9714,0.0256,0.4028,0.7562
