Group_AutoCorr,BM_G01,BM_G03,AvgRet,Alpha
AutoCorr_G01,-0.0275,3.3541,1.1271,0.5637
AutoCorr_G02,2.1074,3.5177,2.0536,1.4041
AutoCorr_G03,2.1106,1.0322,1.6216,-2.6335
HML,2.1381,-2.3219,0.4945,-3.1972
t,1.428,-1.1684,0.4376,-2.2084
p,0.1963,0.3075,0.6748,0.0379
