Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,2.5195,3.1683,2.3425,2.2346
AutoCorr_G02,1.9137,-1.2538,0.4657,-0.3663
AutoCorr_G03,1.8727,3.3475,2.4136,1.3567
HML,-0.6468,0.1791,0.071,-0.878
t,-0.657,0.0796,0.0813,-0.474
p,0.5322,0.9404,0.9375,0.6402
