Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,3.159,1.0424,2.5734,-0.2069
AutoCorr_G02,3.186,1.9317,2.524,0.6547
AutoCorr_G03,2.1897,0.5734,1.9697,-4.7392
HML,-0.9693,-0.469,-0.6037,-4.5323
t,-0.676,-0.2309,-0.3733,-2.6609
p,0.5208,0.8287,0.72,0.0143
