Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,2.7096,2.5702,2.824,-1.9422
AutoCorr_G02,-0.6783,0.6931,-0.3858,-4.5092
AutoCorr_G03,3.129,3.0488,3.0348,-3.3823
HML,0.4194,0.4786,0.2108,-1.4401
t,0.4105,0.3564,0.1537,-1.0414
p,0.6937,0.7396,0.8821,0.309
