Group_AutoCorr,IVOL_G01,IVOL_G03,AvgRet,Alpha
AutoCorr_G01,1.7821,3.6922,2.1931,1.5282
AutoCorr_G02,0.4274,-0.4328,0.0858,-1.385
AutoCorr_G03,2.1296,2.6052,2.1539,1.7572
HML,0.3475,-1.087,-0.0392,0.229
t,0.2511,-0.4097,-0.0267,0.1211
p,0.8089,0.703,0.9795,0.9047
