Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,0.7304,2.7088,1.0202,0.9296
BQ100_G02,1.3296,-0.0391,1.1265,-0.7804
BQ100_G03,2.279,3.1949,2.2862,1.7512
HML,1.5486,0.4861,1.266,0.8217
t,1.4044,0.1684,0.7541,0.3266
p,0.203,0.8745,0.4754,0.7471
