Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.7536,1.6824,1.5941,-0.9057
Beta_abs_intra_G02,2.1722,0.8376,1.4331,-2.0713
Beta_abs_intra_G03,1.9429,-0.4835,0.749,-1.9468
HML,0.1893,-2.1659,-0.845,-1.0411
t,0.3774,-2.412,-1.8515,-0.7733
p,0.717,0.0734,0.1065,0.4476
