Group_Beta_abs_intra,MAX_G01,MAX_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.3973,2.2437,3.9015,-3.7388
Beta_abs_intra_G02,1.2435,2.5488,1.2849,-3.4719
Beta_abs_intra_G03,0.7773,1.467,1.2683,0.3878
HML,-3.62,-0.7767,-2.6332,4.1266
t,-3.4325,-0.8477,-4.6792,5.5686
p,0.0109,0.4443,0.0023,0.0
