Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,2.5666,-0.8963,1.0476,-4.2226
AutoCorr_G02,1.7961,2.9122,1.9996,-0.0135
AutoCorr_G03,1.506,0.0207,0.729,-0.6877
HML,-1.0607,0.917,-0.3187,3.5348
t,-2.0407,0.6577,-0.6365,3.5674
p,0.0806,0.5466,0.5447,0.0017
