Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,2.7113,0.8368,1.8609,-2.2963
BQ100_G02,1.2118,2.9047,1.4142,1.0775
BQ100_G03,0.2673,4.1625,1.5271,0.553
HML,-2.4441,3.3256,-0.3338,2.8493
t,-2.1063,4.26,-0.7501,3.559
p,0.0732,0.0131,0.4776,0.0018
