Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.463,0.9935,1.0115,-2.4199
Square_G02,1.502,2.5853,2.225,-2.113
Square_G03,2.1952,2.7332,2.2365,-5.3008
HML,0.7321,1.7397,1.225,-2.8809
t,0.6678,1.9877,0.9395,-2.4726
p,0.5256,0.1178,0.3788,0.0216
