Group_Square,CSK_G01,CSK_G03,AvgRet,Alpha
Square_G01,2.8201,1.0988,1.9449,-1.4892
Square_G02,2.1988,2.7755,2.2996,-0.1227
Square_G03,3.6953,1.0202,2.9135,-1.6409
HML,0.8752,-0.0786,0.9686,-0.1517
t,0.4619,-0.0847,0.6134,-0.0688
p,0.6582,0.9365,0.559,0.9458
