Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,2.3368,1.2167,1.955,-1.1253
BQ100_G02,0.3077,1.6668,0.9039,-3.5128
BQ100_G03,2.5157,3.4287,2.6141,-5.1956
HML,0.1789,2.212,0.6591,-4.0703
t,0.1067,3.5668,0.3726,-1.4248
p,0.918,0.0234,0.7204,0.1682
