Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,2.0414,1.9798,1.8473,-1.7138
AutoCorr_G02,3.2428,1.5274,2.3481,2.3985
AutoCorr_G03,3.43,1.3875,2.9627,-3.9375
HML,1.3886,-0.5923,1.1155,-2.2237
t,0.7063,-0.2888,0.5393,-1.0541
p,0.5028,0.787,0.6064,0.3033
