Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,2.865,0.6968,2.0814,-0.0853
BQ100_G02,1.0446,2.3378,1.1535,-0.8438
BQ100_G03,2.3962,2.2274,1.9868,4.154
HML,-0.4688,1.5305,-0.0946,4.2393
t,-0.3979,0.7966,-0.089,3.6213
p,0.7026,0.4703,0.9316,0.0015
