Group,AvgRet,Alpha
Beta_abs_intra_G01,1.9482,1.7767
Beta_abs_intra_G02,0.2851,-0.3177
Beta_abs_intra_G03,-0.1516,-0.5869
HML,-2.0997,-2.3637
t,-2.7911,-3.8808
p,0.0137,0.0008
