Group,AvgRet,Alpha
BQ100_G01,0.9263,0.4865
BQ100_G02,1.519,1.5428
BQ100_G03,-0.5175,-1.0554
HML,-1.4439,-1.5419
t,-1.2841,-1.8098
p,0.2186,0.084
