Group,AvgRet,Alpha
AutoCorr_G01,0.7322,0.207
AutoCorr_G02,1.3365,1.1034
AutoCorr_G03,-0.1378,-0.5512
HML,-0.87,-0.7582
t,-1.0019,-0.867
p,0.3323,0.3953
