Group,AvgRet,Alpha
Square_G01,1.3518,0.988
Square_G02,0.2028,-0.2884
Square_G03,0.3898,0.0939
HML,-0.962,-0.8941
t,-1.4584,-1.2812
p,0.1653,0.2135
