Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,1.4269,2.7088,2.0451,0.8126
BQ100_G02,1.1844,0.4683,0.8114,0.1924
BQ100_G03,1.7278,2.6874,1.5764,0.8955
HML,0.3009,-0.0214,-0.4687,0.0829
t,0.186,-0.0074,-0.3211,0.0197
p,0.8577,0.9945,0.7575,0.9845
