Group_Beta_abs_intra,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.6168,3.1662,1.9543,-0.6829
Beta_abs_intra_G02,2.0528,1.9043,1.6137,-2.3066
Beta_abs_intra_G03,2.6065,-0.4835,1.4127,-0.5077
HML,0.9898,-3.6497,-0.5417,0.1752
t,1.0862,-1.8261,-0.7956,0.086
p,0.3134,0.1419,0.4524,0.9322
