Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,2.691,1.3138,1.9093,-1.3479
Square_G02,1.1075,0.4604,0.7082,-0.9545
Square_G03,2.4776,2.8129,2.3632,-1.1947
HML,-0.2134,1.499,0.4538,0.1532
t,-0.1517,0.4067,0.2051,0.0903
p,0.8837,0.7051,0.8433,0.9289
