Group_AutoCorr,MAX_G01,MAX_G03,AvgRet,Alpha
AutoCorr_G01,1.3202,2.5488,1.3233,-1.881
AutoCorr_G02,1.7238,1.3548,1.9289,0.2557
AutoCorr_G03,3.3741,2.3559,3.2025,-5.1976
HML,2.0538,-0.193,1.8792,-3.3166
t,2.7265,-0.2281,2.4547,-0.8416
p,0.0295,0.8308,0.0438,0.4091
