Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,3.185,2.9382,2.5932,-2.6389
BQ100_G02,2.3407,-0.7227,1.2943,-1.1384
BQ100_G03,0.6084,5.3429,1.4525,1.8625
HML,-2.5765,2.4047,-1.1406,4.5014
t,-3.597,1.0094,-1.2052,2.9361
p,0.0088,0.3699,0.2673,0.0076
