Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,3.3428,0.9825,2.7576,-3.4211
BQ100_G02,2.6465,-0.4011,1.9047,-1.0056
BQ100_G03,2.5454,2.966,2.4048,0.1354
HML,-0.7974,1.9836,-0.3529,3.5565
t,-0.5947,1.646,-0.3176,1.0587
p,0.5708,0.1751,0.7601,0.3012
