Group_Square,IVOL_G01,IVOL_G03,AvgRet,Alpha
Square_G01,0.4714,1.5044,0.7132,-2.8163
Square_G02,1.9299,-0.3207,1.1397,0.8794
Square_G03,1.9377,4.6809,2.5799,3.8373
HML,1.4663,3.1765,1.8667,6.6537
t,0.588,2.5652,0.9326,7.2475
p,0.575,0.0623,0.3821,0.0
