Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,2.6364,1.6101,2.0301,-1.2443
Square_G02,2.8652,0.4337,2.7619,-3.7171
Square_G03,3.033,1.5037,2.2752,0.6701
HML,0.3966,-0.1064,0.2451,1.9144
t,0.523,-0.0868,0.4054,1.0186
p,0.6171,0.935,0.6973,0.3195
