Group_Square,REV_G01,REV_G03,AvgRet,Alpha
Square_G01,2.6225,2.348,2.1515,-0.7546
Square_G02,1.7085,3.4847,2.4579,-0.3999
Square_G03,3.9643,0.0845,2.9517,-0.3736
HML,1.3419,-2.2635,0.8002,0.381
t,1.0021,-2.1668,0.5406,0.1064
p,0.3497,0.0962,0.6056,0.9162
