Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,2.8299,0.656,2.0264,0.9153
BQ100_G02,2.0638,-0.9319,0.748,-1.1955
BQ100_G03,2.0822,1.5116,1.5611,-2.3456
HML,-0.7477,0.8556,-0.4653,-3.2609
t,-1.608,0.6067,-1.5544,-2.0359
p,0.1519,0.5768,0.164,0.054
