Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,2.7842,-1.1641,1.5091,0.4136
AutoCorr_G02,1.9735,3.5983,2.5423,-2.6105
AutoCorr_G03,3.777,1.1132,3.0156,-2.0944
HML,0.9929,2.2773,1.5065,-2.508
t,0.6941,3.4252,1.4849,-2.6663
p,0.51,0.0267,0.1811,0.0141
