Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,0.5735,1.586,0.8675,1.2484
AutoCorr_G02,3.4857,2.8842,2.9714,-0.543
AutoCorr_G03,1.8806,2.4003,2.0403,0.8283
HML,1.3071,0.8143,1.1728,-0.4201
t,0.8442,0.4894,0.877,-0.1175
p,0.4265,0.6502,0.4096,0.9075
