Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,2.805,1.2557,2.2013,2.0878
BQ100_G02,1.4933,0.5185,0.9161,-3.2813
BQ100_G03,1.9778,2.8129,1.8634,-2.3036
HML,-0.8272,1.5571,-0.338,-4.3914
t,-1.7323,0.651,-0.6261,-3.0893
p,0.1268,0.5505,0.5511,0.0054
