Group_Square,MIN_G01,MIN_G03,AvgRet,Alpha
Square_G01,2.4165,2.9266,2.5297,0.9226
Square_G02,2.2007,0.6541,1.3661,-2.4267
Square_G03,1.6886,1.6813,1.326,4.7291
HML,-0.7279,-1.2453,-1.2038,3.8065
t,-1.1013,-0.6472,-1.1945,3.4236
p,0.3072,0.5528,0.2712,0.0024
