Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,2.8785,0.8368,2.028,-1.9984
BQ100_G02,1.2503,3.9465,1.9197,1.7986
BQ100_G03,0.0617,3.1206,0.8545,-0.4659
HML,-2.8167,2.2838,-1.1736,1.5325
t,-2.9895,3.2966,-1.5606,1.0497
p,0.0202,0.03,0.1626,0.3053
