Group_Beta_abs_intra,beta_G01,beta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.2122,1.3498,1.6844,-1.5187
Beta_abs_intra_G02,2.1572,0.3694,1.2384,-0.5995
Beta_abs_intra_G03,2.6065,-0.4835,1.4127,-0.5077
HML,0.3943,-1.8333,-0.2717,1.011
t,0.761,-1.8282,-0.4214,0.6085
p,0.4715,0.1415,0.6861,0.5491
