Group_Beta_abs_intra,CSK_G01,CSK_G03,AvgRet,Alpha
Beta_abs_intra_G01,4.3836,1.602,3.5901,-2.4497
Beta_abs_intra_G02,2.37,1.5301,1.8547,0.95
Beta_abs_intra_G03,1.9605,1.7625,1.7132,-1.7532
HML,-2.4231,0.1606,-1.8769,0.6964
t,-1.1401,0.2283,-1.0858,0.4004
p,0.2918,0.8306,0.3136,0.6927
