,beta,Beta_neg,Beta_abs_intra,Square,BQ100,AutoCorr
Avg ret,0.0016,0.0085,0.0062,0.007,0.0052,0.0115
,0.1846,1.2507,0.8232,1.6574,0.7464,1.0447
Std dev,0.035,0.031,0.0456,0.0239,0.0313,0.0421
SR,0.0448,0.2756,0.1357,0.2922,0.1658,0.274
,,,,,,
beta_mkt,-3.0597,-1.849,-1.0246,-0.8384,0.5267,-1.0955
,-3.0199,-2.1729,-0.4871,-0.6595,0.4978,-0.9915
beta_vmg,10.4016,5.8986,-1.4452,-0.482,-2.1144,11.3567
,3.6604,2.2397,-0.3743,-0.1557,-0.6854,2.123
beta_smb,10.9669,5.5754,3.9478,-0.7086,-2.3361,6.0408
,3.1716,1.4623,1.4449,-0.1768,-0.7168,1.1905
Alpha,0.0108,0.0147,0.0083,0.0105,0.006,0.0189
,1.5072,2.1688,0.7858,1.8559,0.6976,1.9085
,,,,,,
Adj R2,0.2132,-0.0502,-0.1331,-0.1651,-0.2252,0.0708
