,beta,Beta_neg,Beta_abs_intra,Square,BQ100,AutoCorr
Avg ret,0.0016,0.0085,0.0009,0.0132,0.017,0.0024
,0.1846,1.2507,0.1047,1.8763,2.0934,0.2486
Std dev,0.035,0.031,0.0463,0.0338,0.0377,0.0367
SR,0.0448,0.2756,0.02,0.3905,0.4518,0.0654
,,,,,,
beta_mkt,-3.0597,-1.849,-1.1841,-1.2408,0.9394,0.5007
,-3.0199,-2.1729,-0.495,-0.9393,1.0648,0.4016
beta_vmg,10.4016,5.8986,-4.954,2.919,1.3106,5.3881
,3.6604,2.2397,-1.4534,0.7135,0.3969,2.3779
beta_smb,10.9669,5.5754,3.5101,0.034,-1.3458,-0.5802
,3.1716,1.4623,1.1016,0.0069,-0.3735,-0.1978
Alpha,0.0108,0.0147,0.0012,0.0202,0.019,0.0058
,1.5072,2.1688,0.0976,3.0605,2.1841,0.5364
,,,,,,
Adj R2,0.2132,-0.0502,0.0233,-0.0855,-0.1944,-0.017
