,beta,Beta_neg,Beta_abs_intra,Square,BQ100,AutoCorr
Avg ret,0.0016,0.0085,0.0095,0.0093,0.0022,0.0128
,0.1846,1.2507,1.2764,1.5524,0.1973,1.0022
Std dev,0.035,0.031,0.0399,0.0324,0.0418,0.0461
SR,0.0448,0.2756,0.2386,0.287,0.0516,0.2775
,,,,,,
beta_mkt,-3.0597,-1.849,-1.4976,-0.7495,-0.1659,-1.6121
,-3.0199,-2.1729,-1.1728,-0.4722,-0.2193,-1.3091
beta_vmg,10.4016,5.8986,-1.7019,0.4098,-5.9679,4.1574
,3.6604,2.2397,-0.5017,0.1193,-1.6158,0.9978
beta_smb,10.9669,5.5754,-1.4895,-0.9351,-0.9555,2.3393
,3.1716,1.4623,-0.8419,-0.2116,-0.3846,0.5582
Alpha,0.0108,0.0147,0.0162,0.0134,-0.0033,0.0208
,1.5072,2.1688,2.3298,2.5453,-0.2833,2.0204
,,,,,,
Adj R2,0.2132,-0.0502,-0.1477,-0.1885,-0.0944,-0.1676
