Group,AvgRet,Alpha
Square_G01,0.7781,0.366
Square_G02,0.9433,0.3162
Square_G03,0.1903,-0.1597
HML,-0.5879,-0.5257
t,-1.0892,-1.1313
p,0.2932,0.2701
