Group,AvgRet,Alpha
BQ100_G01,1.0117,0.5166
BQ100_G02,0.6727,0.5656
BQ100_G03,0.0001,-0.6753
HML,-1.0116,-1.1919
t,-1.1405,-1.3477
p,0.272,0.1915
