Group,AvgRet,Alpha
AutoCorr_G01,0.8332,0.3609
AutoCorr_G02,0.1682,0.1598
AutoCorr_G03,0.2743,-0.418
HML,-0.5589,-0.7789
t,-0.5955,-0.9397
p,0.5604,0.3576
