Group,AvgRet,Alpha
Beta_abs_intra_G01,1.488,1.3467
Beta_abs_intra_G02,0.3844,-0.347
Beta_abs_intra_G03,-0.1835,-0.6873
HML,-1.6715,-2.034
t,-2.1453,-3.0531
p,0.0487,0.0058
