Trddt,time,open,close
2005-01-04,09:35:00,1502.37482834656,1488.7387748101762
2005-01-04,09:40:00,1489.9806470903727,1494.0487678123336
2005-01-04,09:45:00,1494.4603942200415,1495.9848992128047
2005-01-04,09:50:00,1496.1649809942217,1493.8242688328526
2005-01-04,09:55:00,1493.4485925145132,1496.626893144608
2005-01-04,10:00:00,1496.578628011051,1500.0002047447897
2005-01-04,10:05:00,1500.2667484963504,1501.8478534561646
2005-01-04,10:10:00,1501.7484457153882,1501.877403859076
2005-01-04,10:15:00,1501.75101736549,1499.8545654357872
2005-01-04,10:20:00,1499.670514650426,1499.5711399467418
2005-01-04,10:25:00,1499.677115547122,1499.5913427966111
2005-01-04,10:30:00,1499.4622412258882,1498.2158331935348
2005-01-04,10:35:00,1498.142820000664,1496.7547035425243
2005-01-04,10:40:00,1496.336488028022,1495.3453112723178
2005-01-04,10:45:00,1496.4554842924397,1497.094049874344
2005-01-04,10:50:00,1497.034951747627,1497.587245253048
2005-01-04,10:55:00,1497.7935382302303,1497.435553172562
2005-01-04,11:00:00,1497.5649201684182,1497.3848231530933
2005-01-04,11:05:00,1497.3906564378306,1497.5172739714037
2005-01-04,11:10:00,1497.6323620576795,1498.9045769341128
2005-01-04,11:15:00,1498.6245731985298,1500.780372863021
2005-01-04,11:20:00,1500.8859952435691,1501.3239948970772
2005-01-04,11:25:00,1501.501988883795,1500.7493386596211
2005-01-04,11:30:00,1500.6523292023332,1501.068849137428
2005-01-04,13:05:00,1501.138991744648,1500.5075828924794
2005-01-04,13:10:00,1500.560800393104,1500.1643998319164
2005-01-04,13:15:00,1499.907174860126,1498.5942954003408
2005-01-04,13:20:00,1498.4370882317348,1496.457166040907
2005-01-04,13:25:00,1496.52621052141,1493.1281948141782
2005-01-04,13:30:00,1493.09920485462,1493.122333977392
2005-01-04,13:35:00,1492.8914794454645,1493.827919293688
2005-01-04,13:40:00,1493.6902125624474,1494.0366745875067
2005-01-04,13:45:00,1493.922355516159,1492.5766465072193
2005-01-04,13:50:00,1492.5907931415989,1489.3444107300877
2005-01-04,13:55:00,1489.014853202502,1487.0684270753875
2005-01-04,14:00:00,1486.9397607974902,1488.4563444192406
2005-01-04,14:05:00,1488.4959473020592,1489.6290502757513
2005-01-04,14:10:00,1489.551482999301,1488.8131805648304
2005-01-04,14:15:00,1488.7645343678162,1489.4846873070542
2005-01-04,14:20:00,1489.348064926506,1489.2192930507256
2005-01-04,14:25:00,1489.14949017889,1489.1947458551583
2005-01-04,14:30:00,1489.175120030604,1489.703303674321
2005-01-04,14:35:00,1489.6994873180374,1490.8421719273574
2005-01-04,14:40:00,1490.5311610121855,1491.763078064462
2005-01-04,14:45:00,1491.7687345934946,1491.438040763548
2005-01-04,14:50:00,1491.5495067608515,1489.9594261457423
2005-01-04,14:55:00,1490.0474499622082,1489.6480812168911
2005-01-04,15:00:00,1489.6134860968152,1490.454448795901
2005-01-05,09:35:00,1486.5823673808036,1485.8769545396892
2005-01-05,09:40:00,1486.080777656382,1488.6572950929262
2005-01-05,09:45:00,1488.670664870305,1493.204535022547
2005-01-05,09:50:00,1493.1472928675837,1495.103297658462
2005-01-05,09:55:00,1495.2668543104376,1492.8685730635525
2005-01-05,10:00:00,1492.7813365185318,1491.0605846388005
2005-01-05,10:05:00,1490.89750855679,1491.0409475776391
2005-01-05,10:10:00,1491.2339161974933,1490.990292635732
2005-01-05,10:15:00,1491.0770515316844,1491.1123884684694
2005-01-05,10:20:00,1491.2584036601693,1491.0404410597907
2005-01-05,10:25:00,1491.0587761265942,1489.6574986196713
2005-01-05,10:30:00,1489.0491803826972,1485.2504730271496
2005-01-05,10:35:00,1484.761755912164,1483.0339847454086
2005-01-05,10:40:00,1483.226456375001,1484.290653009035
2005-01-05,10:45:00,1484.3078201329042,1485.011025707311
2005-01-05,10:50:00,1487.3933838552716,1487.5368002044966
2005-01-05,10:55:00,1487.5135759302789,1490.6578652984722
2005-01-05,11:00:00,1491.0116724044003,1493.7150638566582
2005-01-05,11:05:00,1493.3946466883683,1493.0909802947235
2005-01-05,11:10:00,1493.338599297458,1491.97893915514
2005-01-05,11:15:00,1492.087026457037,1495.826697873412
2005-01-05,11:20:00,1495.9511250329908,1505.4443161112526
2005-01-05,11:25:00,1505.666244410588,1508.0614088454115
2005-01-05,11:30:00,1507.859312603142,1505.9093287915878
2005-01-05,13:05:00,1505.97281561288,1504.251748648923
2005-01-05,13:10:00,1504.1351934573963,1501.001681916818
2005-01-05,13:15:00,1500.936831569474,1500.1896567338283
2005-01-05,13:20:00,1500.1927186750552,1499.453576911856
2005-01-05,13:25:00,1499.5335582120454,1498.4825467603075
2005-01-05,13:30:00,1498.2334097879866,1497.8014475971402
2005-01-05,13:35:00,1497.947586439442,1497.9665147387775
2005-01-05,13:40:00,1498.1822684343197,1498.2807668850303
2005-01-05,13:45:00,1498.473643821642,1497.4321994227012
2005-01-05,13:50:00,1497.5810800992745,1495.104832921581
2005-01-05,13:55:00,1495.0742374095355,1494.2303087006676
2005-01-05,14:00:00,1493.8986855484386,1495.2116828593926
2005-01-05,14:05:00,1495.310469395529,1496.0552973031004
2005-01-05,14:10:00,1496.3699017555186,1496.5732235006033
2005-01-05,14:15:00,1496.3598495737297,1495.679774310784
2005-01-05,14:20:00,1495.6261444976951,1494.7261744173925
2005-01-05,14:25:00,1494.7223035002569,1494.7555728858715
2005-01-05,14:30:00,1494.6943579615593,1494.6205479347336
2005-01-05,14:35:00,1494.319735628395,1495.5433617015212
2005-01-05,14:40:00,1495.3112908199216,1497.0283228414514
2005-01-05,14:45:00,1496.999900472751,1499.4794107847322
2005-01-05,14:50:00,1499.650986136518,1500.6088949169784
2005-01-05,14:55:00,1500.6482042135794,1500.5772183543631
2005-01-05,15:00:00,1500.2480963418911,1501.967830286706
2005-01-06,09:35:00,1501.094926907868,1499.0393684761357
2005-01-06,09:40:00,1498.8881771730494,1496.7961563779074
2005-01-06,09:45:00,1496.7516790052944,1496.752064449395
2005-01-06,09:50:00,1496.7574730512442,1498.526056769172
2005-01-06,09:55:00,1498.7278869707095,1498.4560772130717
2005-01-06,10:00:00,1498.4825837705312,1495.1318321484257
2005-01-06,10:05:00,1495.104074616303,1491.9402900277794
2005-01-06,10:10:00,1491.8709923793783,1491.9534131525036
2005-01-06,10:15:00,1492.078240281952,1493.2447333662528
2005-01-06,10:20:00,1493.1408542454508,1492.9579376671777
2005-01-06,10:25:00,1493.0208037901414,1491.424201639679
2005-01-06,10:30:00,1491.4399422753113,1489.507417994799
2005-01-06,10:35:00,1489.5855342658629,1489.4418671262083
2005-01-06,10:40:00,1489.4541876981973,1490.664802137016
2005-01-06,10:45:00,1490.883815961417,1491.5645216192663
2005-01-06,10:50:00,1491.6468766937178,1491.2933212169935
2005-01-06,10:55:00,1491.40369838847,1491.3328260042474
2005-01-06,11:00:00,1491.5462200722138,1493.2270243951552
2005-01-06,11:05:00,1493.1843870327486,1495.6295236236342
2005-01-06,11:10:00,1495.7710959968488,1494.570745530531
2005-01-06,11:15:00,1494.4647125641136,1493.6114194067652
2005-01-06,11:20:00,1493.604741514799,1492.8233735595898
2005-01-06,11:25:00,1493.0838907522807,1492.7067086654615
2005-01-06,11:30:00,1492.604104152392,1493.027075794108
2005-01-06,13:05:00,1492.6802464191328,1491.0384926685813
2005-01-06,13:10:00,1491.0465668740412,1489.9946814919797
2005-01-06,13:15:00,1490.3835185471776,1490.2277298188433
2005-01-06,13:20:00,1490.1839249035006,1489.72611384398
2005-01-06,13:25:00,1489.3902263334728,1486.7247416388768
2005-01-06,13:30:00,1486.470257295523,1482.3767557044368
