Group_AutoCorr,RSJ_G01,RSJ_G03,AvgRet,Alpha
AutoCorr_G01,3.4387,1.0908,2.541,-0.7109
AutoCorr_G02,2.4295,0.9305,2.0203,-0.1616
AutoCorr_G03,2.6665,1.5261,2.5058,-3.4188
HML,-0.7722,0.4353,-0.0352,-2.7079
t,-0.4604,0.3345,-0.0216,-1.7934
p,0.6592,0.7548,0.9834,0.0867
