Group_Beta_abs_intra,REV_G01,REV_G03,AvgRet,Alpha
Beta_abs_intra_G01,3.4821,1.6745,3.0436,-2.9339
Beta_abs_intra_G02,2.1069,4.1582,2.7598,-0.1107
Beta_abs_intra_G03,2.7063,0.0845,1.7578,1.5165
HML,-0.7758,-1.5901,-1.2857,4.4504
t,-0.7254,-1.1051,-1.2295,3.9255
p,0.4917,0.3311,0.2586,0.0007
