Group_AutoCorr,ME_G01,ME_G03,AvgRet,Alpha
AutoCorr_G01,2.2634,-0.2889,1.1265,0.6231
AutoCorr_G02,1.1432,5.4576,2.627,1.8149
AutoCorr_G03,2.5332,1.7018,2.1256,-0.9044
HML,0.2698,1.9907,0.9991,-1.5275
t,0.2169,2.3896,0.8365,-1.5707
p,0.8345,0.0752,0.4305,0.1305
