Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.6978,0.7091,1.29,-0.7733
Square_G02,1.7422,2.7822,1.8019,1.0807
Square_G03,0.7504,4.4127,1.7104,-0.9731
HML,-0.9475,3.7036,0.4204,-0.1998
t,-0.4651,1.8743,0.2494,-0.0698
p,0.656,0.1342,0.8102,0.945
