Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,2.3194,2.2436,2.0119,-0.958
BQ100_G02,1.6113,1.5323,1.5707,0.2898
BQ100_G03,2.827,3.2679,2.7714,-5.0282
HML,0.5076,1.0244,0.7595,-4.0702
t,0.4017,0.5662,0.6808,-2.8962
p,0.6999,0.6015,0.5179,0.0084
