Group_AutoCorr,MAX_G01,MAX_G03,AvgRet,Alpha
AutoCorr_G01,2.1494,1.1317,1.7096,1.4219
AutoCorr_G02,0.4079,2.9115,1.3428,-4.2449
AutoCorr_G03,3.8609,2.2164,3.4023,-3.9999
HML,1.7115,1.0847,1.6927,-5.4218
t,1.6118,0.9051,1.3931,-5.0545
p,0.151,0.4166,0.2062,0.0
