Group_BQ100,IVOL_G01,IVOL_G03,AvgRet,Alpha
BQ100_G01,0.4714,2.7088,1.0896,-0.8902
BQ100_G02,1.5886,-0.0391,1.0571,1.0394
BQ100_G03,2.279,3.1949,2.2862,1.7512
HML,1.8076,0.4861,1.1966,2.6415
t,0.754,0.1684,0.5034,0.8015
p,0.4755,0.8745,0.6301,0.4314
