Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,1.9819,0.9825,1.5067,-0.8265
Square_G02,3.5197,1.0613,3.2852,-4.1349
Square_G03,3.033,1.5037,2.2752,0.6701
HML,1.0511,0.5212,0.7685,1.4967
t,1.8473,0.4859,1.7577,0.9931
p,0.1072,0.6525,0.1222,0.3315
