Group_Square,MIN_G01,MIN_G03,AvgRet,Alpha
Square_G01,2.7771,0.6968,2.0132,0.3409
Square_G02,1.8401,1.2906,1.3847,-1.4476
Square_G03,1.6886,3.2746,1.8239,4.3317
HML,-1.0885,2.5778,-0.1893,3.9907
t,-1.4022,1.3372,-0.2338,2.2578
p,0.2036,0.2521,0.8218,0.0342
