Group_Square,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Square_G01,1.901,-0.2795,0.8175,0.1856
Square_G02,1.8976,2.0537,1.8,-2.488
Square_G03,2.4776,2.8129,2.3632,-1.1947
HML,0.5766,3.0923,1.5456,-1.3803
t,0.4825,0.8753,0.7947,-0.7625
p,0.6441,0.4308,0.4529,0.4539
