Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,2.8656,-0.3723,1.5769,1.8511
AutoCorr_G02,1.6351,0.0592,0.8805,-3.1122
AutoCorr_G03,2.4753,1.5488,1.8781,-1.3647
HML,-0.3903,1.9212,0.3012,-3.2159
t,-0.6979,1.5051,0.3746,-1.2465
p,0.5078,0.2067,0.7191,0.2257
