Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.9071,4.6311,2.553,0.4444
Beta_abs_intra_G02,3.1446,1.2907,2.0807,1.6977
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-0.8247,-2.9945,-1.8467,-4.5013
t,-0.4186,-1.3316,-1.6731,-1.9221
p,0.6881,0.2538,0.1382,0.0676
