Group_BQ100,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
BQ100_G01,1.4631,1.2167,1.0813,-2.6825
BQ100_G02,1.1815,2.0084,1.8844,-1.8411
BQ100_G03,2.5157,3.087,2.5073,-5.3101
HML,1.0527,1.8704,1.4261,-2.6277
t,1.0351,3.3667,1.1926,-2.2395
p,0.335,0.0281,0.2719,0.0356
