Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,0.5341,2.0975,0.5134,-3.7776
AutoCorr_G02,4.1249,1.4692,3.5279,-1.0068
AutoCorr_G03,2.0986,3.4772,2.3127,-0.9121
HML,1.5644,1.3797,1.7993,2.8655
t,1.7556,1.5275,3.1531,1.7807
p,0.1226,0.2014,0.0161,0.0888
