Group_BQ100,BM_G01,BM_G03,AvgRet,Alpha
BQ100_G01,1.742,-0.5611,0.9394,-1.5014
BQ100_G02,1.6386,4.3027,2.0645,2.6791
BQ100_G03,0.8098,4.1625,1.7983,-1.8434
HML,-0.9323,4.7236,0.8589,-0.342
t,-0.5333,3.6624,0.6943,-0.1847
p,0.6104,0.0215,0.5099,0.8551
