Group_AutoCorr,CKT_G01,CKT_G03,AvgRet,Alpha
AutoCorr_G01,0.6159,1.8538,0.3659,-3.7971
AutoCorr_G02,2.1685,4.5565,2.6132,3.0432
AutoCorr_G03,3.3497,1.1481,2.3608,-1.161
HML,2.7338,-0.7057,1.9949,2.6361
t,2.8302,-0.3541,3.9499,0.8613
p,0.0254,0.7411,0.0055,0.3984
