Group_BQ100,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
BQ100_G01,1.8496,0.2785,0.9405,-0.1185
BQ100_G02,1.8976,1.0591,1.4892,-2.6303
BQ100_G03,2.529,3.2495,2.551,-0.7483
HML,0.6794,2.971,1.6105,-0.6298
t,0.5837,1.6097,1.0418,-0.3752
p,0.5777,0.1827,0.3321,0.7111
