Group_Square,RSJ_G01,RSJ_G03,AvgRet,Alpha
Square_G01,2.6364,1.6101,2.03,-1.2443
Square_G02,3.1858,0.4337,2.9221,-3.8451
Square_G03,2.7125,1.5037,2.1149,0.7981
HML,0.0761,-0.1064,0.0848,2.0424
t,0.0799,-0.0868,0.121,1.021
p,0.9386,0.935,0.9071,0.3184
